World,Location,Action,AP Location Name,AP Location ID,Item
Hollow Bastion,Base Level,Chest,Hollow Bastion Base Level Platform Near Entrance Chest,2654332,Gummi
Hollow Bastion,Base Level,Chest,Hollow Bastion Base Level Near Crystal Switch Chest,2654333,Gummi
Hollow Bastion,Castle Chapel,Defeat Maleficent 1,Hollow Bastion Defeat Maleficent Ansem's Report 5,2657014,Ansem's Report 5
Hollow Bastion,Castle Chapel,Speak to Princesses,Hollow Bastion Speak to Princesses Fire Event,2656106,Fire
Hollow Bastion,Castle Chapel,Defeat Unknown,Hollow Bastion Defeat Unknown Ansem's Report 13,2657024,Ansem's Report 13
Hollow Bastion,Castle Chapel,Defeat Dragon Maleficent,Hollow Bastion Defeat Dragon Maleficent Fireglow Event,2656103,Fireglow
Hollow Bastion,Castle Chapel,Defeat Maleficent,Hollow Bastion Defeat Maleficent Donald Cheer Event,2656102,Cheer (Donald)
Hollow Bastion,Castle Chapel,Defeat Unknown,Hollow Bastion Defeat Unknown EXP Necklace Event,2656379,EXP Necklace
Hollow Bastion,Castle Gates,Chest,Hollow Bastion Castle Gates Gravity Chest,2654132,Puppies
Hollow Bastion,Castle Gates,Chest,Hollow Bastion Castle Gates Freestanding Pillar Chest,2654133,Orichalcum
Hollow Bastion,Castle Gates,Chest,Hollow Bastion Castle Gates High Pillar Chest,2654134,Gummi
Hollow Bastion,Castle Gates,Chest,Hollow Bastion Castle Gates Freestanding Pillar Chest,2654133,Orichalcum
Hollow Bastion,Dark Depths,Defeat Behemoth,Hollow Bastion Defeat Behemoth Omega Arts Event,2656105,Omega Arts
Hollow Bastion,Dungeon,Blue Trinity,Hollow Bastion Dungeon Blue Trinity,2656609,
Hollow Bastion,Dungeon,Chest,Hollow Bastion Dungeon By Candles Chest,2654373,Gummi
Hollow Bastion,Dungeon,Chest,Hollow Bastion Dungeon Corner Chest,2654374,Gummi
Hollow Bastion,Entrance Hall,Defeat Riku 1,Hollow Bastion Defeat Riku I White Trinity Event,2656101,White Trinity
Hollow Bastion,Entrance Hall,Flame,Hollow Bastion Entrance Hall Emblem Piece (Flame),2656516,Emblem Piece
Hollow Bastion,Entrance Hall,Chest,Hollow Bastion Entrance Hall Emblem Piece (Chest),2656517,Emblem Piece
Hollow Bastion,Entrance Hall,Statue,Hollow Bastion Entrance Hall Emblem Piece (Statue),2656518,Emblem Piece
Hollow Bastion,Entrance Hall,Fountain,Hollow Bastion Entrance Hall Emblem Piece (Fountain),2656519,Emblem Piece
Hollow Bastion,Entrance Hall,Chest,Hollow Bastion Entrance Hall Left of Emblem Door Chest,2654212,AP Up
Hollow Bastion,Entrance Hall,Chest,Hollow Bastion Entrance Hall Left of Emblem Door Chest,2654212,AP Up
Hollow Bastion,Grand Hall,Chest,Hollow Bastion Grand Hall Steps Right Side Chest,2654454,Dark Matter
Hollow Bastion,Grand Hall,Chest,Hollow Bastion Grand Hall Oblivion Chest,2654491,Oblivion
Hollow Bastion,Grand Hall,Chest,Hollow Bastion Grand Hall Left of Gate Chest,2654492,Puppies
Hollow Bastion,Grand Hall,Defeat Riku-Ansem,Hollow Bastion Defeat Riku II Ragnarok Event,2656104,Ragnarok
Hollow Bastion,Grand Hall,Chest,Hollow Bastion Grand Hall Oblivion Chest,2654491,Oblivion
Hollow Bastion,Grand Hall,Chest,Hollow Bastion Grand Hall Steps Right Side Chest,2654454,Dark Matter
Hollow Bastion,Great Crest,Blue Trinity,Hollow Bastion Great Crest Blue Trinity,2656608,
Hollow Bastion,Great Crest,Chest,Hollow Bastion Great Crest Lower Chest,2654171,Orichalcum
Hollow Bastion,Great Crest,Chest,Hollow Bastion Great Crest After Battle Platform Chest,2654172,Gummi
Hollow Bastion,High Tower,Chest,Hollow Bastion High Tower 2nd Gravity Chest,2654173,Gummi
Hollow Bastion,High Tower,Chest,Hollow Bastion High Tower 1st Gravity Chest,2654174,Thundara Ring
Hollow Bastion,High Tower,Chest,Hollow Bastion High Tower Above Sliding Blocks Chest,2654211,Megalixir
Hollow Bastion,High Tower,Chest,Hollow Bastion High Tower 1st Gravity Chest,2654174,Thundara Ring
Hollow Bastion,Library,Carousel Chest,Hollow Bastion Library 1st Floor Turn the Carousel Chest,2654214,Elixir
Hollow Bastion,Library,Carousel Chest,Hollow Bastion Library Top of Bookshelf Turn the Carousel Chest,2654251,AP Up
Hollow Bastion,Library,Carousel Chest,Hollow Bastion Library 2nd Floor Turn the Carousel 2nd Chest,2654253,Mega-Potion
Hollow Bastion,Library,Carousel Chest,Hollow Bastion Library 2nd Floor Turn the Carousel 1st Chest,2654252,Mythril
Hollow Bastion,Library,Speak with Aerith,Hollow Bastion Speak with Aerith Ansem's Report 2,2657017,Ansem's Report 2
Hollow Bastion,Library,Speak with Aerith,Hollow Bastion Speak with Aerith Ansem's Report 4,2657015,Ansem's Report 4
Hollow Bastion,Library,Speak with Aerith,Hollow Bastion Speak with Aerith Ansem's Report 6,2657013,Ansem's Report 6
Hollow Bastion,Library,Speak with Aerith,Hollow Bastion Speak with Aerith Ansem's Report 10,2657027,Ansem's Report 10
Hollow Bastion,Library,Speak with Aerith,Hollow Bastion Library Speak to Aerith Cure,2656523,Cure
Hollow Bastion,Library,Chest,Hollow Bastion Library Top of Bookshelf Chest,2654213,Gummi
Hollow Bastion,Library,Speak to Belle,Hollow Bastion Library Speak to Belle Divine Rose,2656522,Divine Rose
Hollow Bastion,Lift Stop,Examine Node,Hollow Bastion Lift Stop from Waterway Examine Node,2656623,
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Library Node After High Tower Switch Gravity Chest,2654254,Ramuh Belt
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Library Node Gravity Chest,2654291,Gummi
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Under High Tower Sliding Blocks Chest,2654292,Royal Crown
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Outside Library Gravity Chest,2654293,Puppies
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Heartless Sigil Door Gravity Chest,2654294,Orichalcum
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Library Node After High Tower Switch Gravity Chest,2654254,Ramuh Belt
Hollow Bastion,Lift Stop,Chest,Hollow Bastion Lift Stop Under High Tower Sliding Blocks Chest,2654292,Royal Crown
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Water's Surface Chest,2654054,Gummi
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Under Water 1st Chest,2654091,Gummi
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Under Water 2nd Chest,2654092,Defense Up
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Floating Platform Near Save Chest,2654093,Puppies
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Floating Platform Near Bubble Chest,2654094,Blizzara Ring
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls High Platform Chest,2654131,Megalixir
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls White Trinity Chest,2654494,Gummi
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Under Water 2nd Chest,2654092,Defense Up
Hollow Bastion,Rising Falls,Chest,Hollow Bastion Rising Falls Floating Platform Near Bubble Chest,2654094,Blizzara Ring
Hollow Bastion,Waterway,Chest,Hollow Bastion Waterway Near Save Chest,2654334,Fira Ring
Hollow Bastion,Waterway,Chest,Hollow Bastion Waterway Blizzard on Bubble Chest,2654371,Dark Matter
Hollow Bastion,Waterway,Chest,Hollow Bastion Waterway Unlock Passage from Base Level Chest,2654372,Gummi
Hollow Bastion,Waterway,Chest,Hollow Bastion Waterway Near Save Chest,2654334,Fira Ring
Hollow Bastion,Waterway,Chest,Hollow Bastion Waterway Blizzard on Bubble Chest,2654371,Dark Matter
Monstro,Chamber 5,Blue Trinity,Monstro Chamber 5 Blue Trinity,2656607,
Monstro,Chamber 6,Chest,Monstro Chamber 6 Other Platform Chest,2652413,Megalixir
Monstro,Chamber 6,Chest,Monstro Chamber 6 Platform Near Chamber 5 Entrance Chest,2652414,Torn Page 2
Monstro,Chamber 6,Chest,Monstro Chamber 6 Raised Area Near Chamber 1 Entrance Chest,2652451,Mythril
Monstro,Chamber 6,Chest,Monstro Chamber 6 Low Chest,2652452,Puppies
Monstro,Chamber 6,Chest,Monstro Chamber 6 White Trinity Chest,2655092,Dark Matter
Monstro,Chamber 6,Chest,Monstro Chamber 6 Raised Area Near Chamber 1 Entrance Chest,2652451,Mythril
Monstro,Chamber 6,Chest,Monstro Chamber 6 White Trinity Chest,2655092,Dark Matter
Monstro,Monstro: Chamber 2,Chest,Monstro Chamber 2 Ground Chest,2653534,Cottage
Monstro,Monstro: Chamber 2,Chest,Monstro Chamber 2 Platform Chest,2653571,Megalixir
Monstro,Monstro: Chamber 3,Chest,Monstro Chamber 3 Ground Chest,2653614,Mega-Ether
Monstro,Monstro: Chamber 3,Chest,Monstro Chamber 3 Platform Above Chamber 2 Entrance Chest,2653651,Puppies
Monstro,Monstro: Chamber 3,Chest,Monstro Chamber 3 Near Chamber 6 Entrance Chest,2653652,Gummi
Monstro,Monstro: Chamber 3,Chest,Monstro Chamber 3 Platform Near Chamber 6 Entrance Chest,2653653,Gummi
Monstro,Monstro: Chamber 5,Chest,Monstro Chamber 5 Platform Chest,2653613,Mythril
Monstro,Monstro: Chamber 5,Chest,Monstro Chamber 5 Atop Barrel Chest,2653733,Puppies
Monstro,Monstro: Chamber 5,Chest,Monstro Chamber 5 Low 2nd Chest,2653734,Mega-Ether
Monstro,Monstro: Chamber 5,Chest,Monstro Chamber 5 Low 1st Chest,2653771,Gummi
Monstro,Monstro: Mouth,Chest,Monstro Mouth Boat Deck Chest,2653454,High Jump
Monstro,Monstro: Mouth,Chest,Monstro Mouth High Platform Boat Side Chest,2653491,Cottage
Monstro,Monstro: Mouth,Chest,Monstro Mouth High Platform Across from Boat Chest,2653492,Puppies
Monstro,Monstro: Mouth,Chest,Monstro Mouth Near Ship Chest,2653493,Gummi
Monstro,Monstro: Mouth,Chest,Monstro Mouth Green Trinity Top of Boat Chest,2653494,Mythril Shard
Monstro,Monstro: Mouth,Chest,Monstro Mouth High Platform Near Teeth Chest,2653732,Watergleam
Monstro,Mouth,Blue Trinity,Monstro Mouth Blue Trinity,2656606,
Monstro,Mouth,Chest,Monstro Mouth Boat Deck Chest,2653454,High Jump
Monstro,Mouth,Chest,Monstro Mouth High Platform Near Teeth Chest,2653732,Watergleam
Monstro,Mouth,Chest,Monstro Mouth Green Trinity Top of Boat Chest,2653494,Mythril Shard
Monstro,Stomach,Defeat Parasite Cage 2,Monstro Defeat Parasite Cage I Goofy Cheer Event,2656061,Cheer (Goofy)
Monstro,Throat,Defeat Parasite Cage 2,Monstro Defeat Parasite Cage II Stop Event,2656062,Stop
Monstro,Throat,Blue Trinity,Monstro Throat Blue Trinity,2656612,
Neverland,Cabin,Chest,Neverland Cabin Chest,2653813,Protera Chain
Neverland,Captain's Cabin,Chest,Neverland Captain's Cabin Chest,2654053,Puppies
Neverland,Captain's Cabin,Defeat Anti Sora,Neverland Defeat Anti Sora Raven's Claw Event,2656091,Raven's Claw
Neverland,Clock Tower,Seal Keyhole,Neverland Seal Keyhole Navi-G Piece Event,2656112,Navi-G Piece 4
Neverland,Clock Tower,Seal Keyhole,Neverland Seal Keyhole Tinker Bell Event,2656094,Tinker Bell
Neverland,Clock Tower,Defeat Phantom,Neverland Defeat Phantom Stop Event,2656096,Stop
Neverland,Clock Tower,Open 1:00 Door,Neverland Clock Tower 01:00 Door,2656332,Orichalcum
Neverland,Clock Tower,Open 2:00 Door,Neverland Clock Tower 02:00 Door,2656333,Power Up
Neverland,Clock Tower,Open 3:00 Door,Neverland Clock Tower 03:00 Door,2656334,Mythril Shard
Neverland,Clock Tower,Open 4:00 Door,Neverland Clock Tower 04:00 Door,2656335,Power Up
Neverland,Clock Tower,Open 5:00 Door,Neverland Clock Tower 05:00 Door,2656336,AP Up
Neverland,Clock Tower,Open 6:00 Door,Neverland Clock Tower 06:00 Door,2656337,Mythril
Neverland,Clock Tower,Open 7:00 Door,Neverland Clock Tower 07:00 Door,2656338,AP Up
Neverland,Clock Tower,Open 8:00 Door,Neverland Clock Tower 08:00 Door,2656339,Defense Up
Neverland,Clock Tower,Open 9:00 Door,Neverland Clock Tower 09:00 Door,2656340,Orichalcum
Neverland,Clock Tower,Open 10:00 Door,Neverland Clock Tower 10:00 Door,2656341,Defense Up
Neverland,Clock Tower,Open 11:00 Door,Neverland Clock Tower 11:00 Door,2656342,Mythril Shard
Neverland,Clock Tower,Open 12:00 Door,Neverland Clock Tower 12:00 Door,2656343,Megalixir
Neverland,Clock Tower,Chest,Neverland Clock Tower Chest,2654014,Gummi
Neverland,Clock Tower,Seal Keyhole,Neverland Seal Keyhole Glide Event,2656095,Glide
Neverland,Clock Tower,Seal Keyhole,Neverland Seal Keyhole Fairy Harp Event,2656093,Fairy Harp
Neverland,Pirate Ship,Defeat Captain Hook,Neverland Defeat Hook Ansem's Report 9,2657028,Ansem's Report 9
Neverland,Pirate Ship,Encounter Captain Hook,Neverland Encounter Hook Cure Event,2656092,Cure
Neverland,Pirate Ship,Chest,Neverland Pirate Ship Deck White Trinity Chest,2653772,Puppies
Neverland,Pirate Ship,Chest,Neverland Pirate Ship Crows Nest Chest,2653773,Orichalcum
Neverland,Pirate Ship,Chest,Neverland Pirate Ship Crows Nest Chest,2653773,Orichalcum
Neverland,Ship Deck,Defeat Captain Hook,Neverland Defeat Captain Hook Ars Arcanum Event,2656097,Ars Arcanum
Neverland,Ship Hold,Chest,Neverland Hold Yellow Trinity Left Blue Chest,2653811,Dark Matter
Neverland,Ship: Cabin,Chest,Neverland Cabin Chest,2653813,Protera Chain
Neverland,Ship: Galley,Chest,Neverland Galley Chest,2653812,Gummi
Neverland,Ship: Hold,Chest,Neverland Hold Flight 1st Chest,2653814,Puppies
Neverland,Ship: Hold,Chest,Neverland Hold Flight 2nd Chest,2654051,Gummi
Neverland,Ship: Hold (Yellow Trinity),Chest,Neverland Hold Yellow Trinity Right Blue Chest,2653774,Orichalcum
Neverland,Ship: Hold (Yellow Trinity),Chest,Neverland Hold Yellow Trinity Left Blue Chest,2653811,Dark Matter
Neverland,Ship: Hold (Yellow Trinity),Chest,Neverland Hold Yellow Trinity Green Chest,2654052,Puppies
Neverland,Ship:Hold,Chest,Neverland Hold Aero Chest,2656344,Aero
Olympus Coliseum,Coliseum Arena,Defeat Cerberus,Olympus Coliseum Defeat Cerberus Inferno Band Event,2656033,Inferno Band
Olympus Coliseum,Coliseum Gates,Green Trinity,Olympus Coliseum Coliseum Gates Green Trinity,2656377,Mythril
Olympus Coliseum,Coliseum Gates,Complete Phil's Training,Olympus Coliseum Coliseum Gates Entry Pass Event,2656386,Entry Pass
Olympus Coliseum,Coliseum Gates,Examine Jar,Olympus Coliseum Gates Purple Jar After Defeating Hades,2656330,Orichalcum
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Left Behind Columns Chest,2653332,Mega-Potion
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Right Blue Trinity Chest,2653333,Puppies
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Left Blue Trinity Chest,2653334,Mythril Shard
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates White Trinity Chest,2653371,Violetta
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Blizzara Chest,2653372,Gummi
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Blizzaga Chest,2653373,Shiva Belt
Olympus Coliseum,Coliseum Gates,Speak to Cloud,Olympus Coliseum Cloud Sonic Blade Event,2656032,Sonic Blade
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Left Blue Trinity Chest,2653334,Mythril Shard
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates White Trinity Chest,2653371,Violetta
Olympus Coliseum,Coliseum Gates,Chest,Olympus Coliseum Coliseum Gates Blizzaga Chest,2653373,Shiva Belt
Olympus Coliseum,Coliseum Lobby,Complete Phil and Pegasus and Hercules Cup,Olympus Coliseum Olympia Chest,2656369,Olympia
Olympus Coliseum,Gold Match,Defeat Ice Titan,Olympus Coliseum Defeat Ice Titan Diamond Dust Event,2656329,Diamond Dust
Olympus Coliseum,Hades Cup,Defeat Behemoth,Hades Cup Defeat Behemoth Event,2659016,Blizzard
Olympus Coliseum,Hades Cup,Defeat Cerberus,Hades Cup Defeat Cerberus Event,2659015,Thunder
Olympus Coliseum,Hades Cup,Defeat Hades,Hades Cup Defeat Hades Event,2659017,Gravity
Olympus Coliseum,Hades Cup,Defeat Hades,Olympus Coliseum Defeat Hades Ansem's Report 8,2657011,Ansem's Report 8
Olympus Coliseum,Hades Cup,Defeat Leon and Cloud,Hades Cup Defeat Cloud and Leon Event,2659013,Lionheart
Olympus Coliseum,Hades Cup,Defeat Yuffie,Hades Cup Defeat Yuffie Event,2659014,Genji Shield
Olympus Coliseum,Hades Cup,Complete Cup Together,Complete Hades Cup,2659010,Trinity Limit
Olympus Coliseum,Hades Cup,Complete Solo,Complete Hades Cup Solo,2659011,Save the Queen
Olympus Coliseum,Hades Cup,Complete Time Trial,Complete Hades Cup Time Trial,2659012,Save the King
Olympus Coliseum,Hercules Cup,Defeat Cloud,Hercules Cup Defeat Cloud Event,2659018,Metal Chocobo
Olympus Coliseum,Hercules Cup,Defeat Hercules,Complete Hercules Cup,2659007,Herc's Shield
Olympus Coliseum,Hercules Cup,Complete Solo,Complete Hercules Cup Solo,2659008,Critical Plus
Olympus Coliseum,Hercules Cup,Complete Time Trial,Complete Hercules Cup Time Trial,2659009,Gravity Break
Olympus Coliseum,Lobby,Complete Phil's Training,Olympus Coliseum Clear Phil's Training Thunder Event,2656031,Thunder
Olympus Coliseum,Lobby,Defeat Cerberus,Olympus Coliseum Coliseum Gates Hero's License Event,2656380,Hero's License
Olympus Coliseum,Lobby,Complete Hercules Cup Together,Hercules Cup Yellow Trinity Event,2659019,Yellow Trinity
Olympus Coliseum,Pegasus Cup,Complete Cup Together,Complete Pegasus Cup,2659004,Strike Raid
Olympus Coliseum,Pegasus Cup,Complete Solo,Complete Pegasus Cup Solo,2659005,Orichalcum
Olympus Coliseum,Pegasus Cup,Complete Time Trial,Complete Pegasus Cup Time Trial,2659006,Dark Matter
Olympus Coliseum,Phil Cup,Complete Phil Cup Together,Complete Phil Cup,2659001,Gravity
Olympus Coliseum,Phil Cup,Complete Solo,Complete Phil Cup Solo,2659002,Combo Plus
Olympus Coliseum,Phil Cup,Complete Time Trial,Complete Phil Cup Time Trial,2659003,Tech Boost
Olympus Coliseum,Platinum Match,Defeat Sephiroth,Olympus Coliseum Defeat Sephiroth Ansem's Report 12,2657025,Ansem's Report 12
Olympus Coliseum,Platinum Match,Defeat Sephiroth,Olympus Coliseum Defeat Sephiroth One-Winged Angel Event,2656328,One-Winged Angel
Traverse Town,1st District,Examine Safe,Traverse Town 1st District Safe Postcard,2656501,Postcard
Traverse Town,1st District,Defeat Guard Armor,Traverse Town Defeat Guard Armor Fire Event,2656012,Fire
Traverse Town,1st District,Defeat Guard Armor,Traverse Town Defeat Guard Armor Blue Trinity Event,2656013,Blue Trinity
Traverse Town,1st District,Blue Trinity by Exit Door,Traverse Town 1st District Blue Trinity by Exit Door,2656600,
Traverse Town,1st District,Chest,Traverse Town 1st District Candle Puzzle Chest,2650211,Defense Up
Traverse Town,1st District,Chest,Traverse Town 1st District Accessory Shop Roof Chest,2650212,Postcard
Traverse Town,1st District,Chest,Traverse Town 1st District Blue Trinity Balcony Chest,2650411,Postcard
Traverse Town,1st District,Leon Gift,Traverse Town 1st District Leon Gift,2656520,Elixir
Traverse Town,1st District,Defeat Guard Armor,Traverse Town Defeat Guard Armor Dodge Roll Event,2656011,Dodge Roll
Traverse Town,1st District,Aerith Gift,Traverse Town 1st District Aerith Gift,2656521,Mega-Potion
Traverse Town,1st District,Chest,Traverse Town 1st District Candle Puzzle Chest,2650211,Defense Up
Traverse Town,1st District,Mail Postcard 1,Traverse Town Mail Postcard 01 Event,2656120,Cottage
Traverse Town,1st District,Mail Postcard 2,Traverse Town Mail Postcard 02 Event,2656121,Mythril Shard
Traverse Town,1st District,Mail Postcard 3,Traverse Town Mail Postcard 03 Event,2656122,Mega-Potion
Traverse Town,1st District,Mail Postcard 4,Traverse Town Mail Postcard 04 Event,2656123,Mega-Ether
Traverse Town,1st District,Mail Postcard 5,Traverse Town Mail Postcard 05 Event,2656124,Mythril
Traverse Town,1st District,Mail Postcard 6,Traverse Town Mail Postcard 06 Event,2656125,Elixir
Traverse Town,1st District,Mail Postcard 7,Traverse Town Mail Postcard 07 Event,2656126,Megalixir
Traverse Town,1st District,Mail Postcard 8,Traverse Town Mail Postcard 08 Event,2656127,Orichalcum
Traverse Town,1st District,Mail Postcard 9,Traverse Town Mail Postcard 09 Event,2656128,AP Up
Traverse Town,1st District,Mail Postcard 10,Traverse Town Mail Postcard 10 Event,2656129,Defense Up
Traverse Town,2nd District,Defeat Opposite Armor,Traverse Town Defeat Opposite Armor Aero Event,2656131,Aero
Traverse Town,2nd District,Defeat Opposite Armor,Traverse Town Defeat Opposite Armor Navi-G Piece Event,2656132,Navi-G Piece 3
Traverse Town,2nd District,Chest,Traverse Town 2nd District Boots and Shoes Awning Chest,2650213,Postcard
Traverse Town,2nd District,Chest,Traverse Town 2nd District Rooftop Chest,2650214,Mythril Shard
Traverse Town,2nd District,Chest,Traverse Town 2nd District Gizmo Shop Facade Chest,2650251,Mega-Potion
Traverse Town,3rd District,Examine Balcony Corner,Traverse Town 3rd District Balcony Postcard,2656505,Postcard
Traverse Town,3rd District,Blue Trinity,Traverse Town 3rd District Blue Trinity,2656601,
Traverse Town,3rd District,Defeat Guard Armor,Traverse Town Defeat Guard Armor Brave Warrior Event,2656016,Brave Warrior
Traverse Town,Accessory Shop,Chest,Traverse Town Accessory Shop Chest,2650332,Mythril Shard
Traverse Town,Alleyway,Chest,Traverse Town Alleyway Balcony Chest,2650252,Potion
Traverse Town,Alleyway,Chest,Traverse Town Alleyway Blue Room Awning Chest,2650253,Pretty Stone
Traverse Town,Alleyway,Chest,Traverse Town Alleyway Corner Chest,2650254,Potion
Traverse Town,Alleyway,Chest,Traverse Town Alleyway Behind Crates Chest,2650892,Puppies
Traverse Town,Dalmatian House,Return 10 Puppies,Traverse Town Piano Room Return 10 Puppies,2656314,Curaga-G
Traverse Town,Dalmatian House,Return 20 Puppies,Traverse Town Piano Room Return 20 Puppies,2656315,Firaga-G
Traverse Town,Dalmatian House,Return 30 Puppies,Traverse Town Piano Room Return 30 Puppies,2656316,Thundara-G
Traverse Town,Dalmatian House,Return 50 Puppies,Traverse Town Piano Room Return 50 Puppies Reward 1,2656318,Torn Page 5
Traverse Town,Dalmatian House,Return 80 Puppies,Traverse Town Piano Room Return 80 Puppies,2656322,Ultima-G
Traverse Town,Dalmatian House,Return 99 Puppies,Traverse Town Piano Room Return 99 Puppies Reward 1,2656326,Aero
Traverse Town,Dalmatian House,Return 99 Puppies,Traverse Town Piano Room Return 99 Puppies Reward 2,2656327,Complete Gummi Collection
Traverse Town,Dalmatian's House,Return 40 Puppies,Traverse Town Piano Room Return 40 Puppies,2656317,Mythril Shard
Traverse Town,Dalmatian's House,Return 60 Puppies,Traverse Town Piano Room Return 60 Puppies,2656320,Megalixir
Traverse Town,Dalmatian's House,Return 70 Puppies,Traverse Town Piano Room Return 70 Puppies,2656321,Orichalcum
Traverse Town,Dalmatian's House,Return 90 Puppies,Traverse Town Piano Room Return 90 Puppies,2656324,Tech Boost
Traverse Town,Dalmatian's House,Return 50 Puppies,Traverse Town Piano Room Return 50 Puppies Reward 2,2656319,Mythril
Traverse Town,Geppetto's House,Enter House,Traverse Town Geppetto's House Geppetto Reward 1,2656304,Geppetto
Traverse Town,Geppetto's House,Talk to Geppetto 1,Traverse Town Geppetto's House Geppetto Reward 2,2656308,Cactaur
Traverse Town,Geppetto's House,Talk to Geppetto 2,Traverse Town Geppetto's House Geppetto Reward 3,2656306,Yuffie
Traverse Town,Geppetto's House,Talk to Geppetto 3,Traverse Town Geppetto's House Geppetto Reward 4,2656305,Aerith
Traverse Town,Geppetto's House,Talk to Geppetto 4,Traverse Town Geppetto's House Geppetto Reward 5,2656307,Leon
Traverse Town,Geppetto's House,Talk to Geppetto with All Summons,Traverse Town Geppetto's House Geppetto Reward 5,2656309,Hyperion
Traverse Town,Geppetto's House,Talk to Pinocchio,Traverse Town Geppetto's House Geppetto All Summons Reward,2656310,Chocobo
Traverse Town,Geppetto's House,Examine Shelf,Traverse Town Geppetto's House Postcard,2656506,Postcard
Traverse Town,Geppetto's House,Chest,Traverse Town Geppetto's House Chest,2650334,Wishing Star
Traverse Town,Geppetto's House,Chest,Traverse Town Geppetto's House Chest,2650334,Wishing Star
Traverse Town,Gizmo Shop,Examine Clock,Traverse Town Gizmo Shop Postcard 1,2656502,Postcard
Traverse Town,Gizmo Shop,Examine Clock,Traverse Town Gizmo Shop Postcard 2,2656503,Postcard
Traverse Town,Green Room,Chest,Traverse Town Green Room Clock Puzzle Chest,2650292,Mythril
Traverse Town,Green Room,Chest,Traverse Town Green Room Table Chest,2650293,Elixir
Traverse Town,Green Room,Chest,Traverse Town Green Room Table Chest,2650293,Elixir
Traverse Town,Item Shop,Hit Fan,Traverse Town Item Shop Postcard,2656500,Postcard
Traverse Town,Item Workshop,Examine Poster,Traverse Town Item Workshop Postcard,2656504,Postcard
Traverse Town,Item Workshop,Chest,Traverse Town Item Workshop Right Chest,2650371,Mythril Shard
Traverse Town,Item Workshop,Chest,Traverse Town Item Workshop Left Chest,2650893,Puppies
Traverse Town,Item Workshop,Synthesize 15 Items,Traverse Town Synth 15 Items,2656400,Encounter Plus
Traverse Town,Magician's Study,Blue Trinity,Traverse Town Magician's Study Blue Trinity,2656602,
Traverse Town,Mystical House,Chest,Traverse Town Mystical House Yellow Trinity Chest,2650331,AP Up
Traverse Town,Mystical House,Chest,Traverse Town Mystical House Glide Chest,2650891,Puppies
Traverse Town,Mystical House,Obtain all Summons,,,Lord Fortune
Traverse Town,Mystical House,All Arts Items,Traverse Town Magician's Study Obtained All Arts Items,2656311,Dream Shield
Traverse Town,Mystical House,Chest,Traverse Town Mystical House Yellow Trinity Chest,2650331,AP Up
Traverse Town,Mystical House,Obtain all LV1 Magic,Traverse Town Magician's Study Obtained All LV1 Magic,2656312,Spellbinder
Traverse Town,Mystical House,Obtain all LV3 Magic,Traverse Town Magician's Study Obtained All LV3 Magic,2656313,Dream Rod
Traverse Town,Red Room,Chest,Traverse Town Red Room Chest,2650294,Pretty Stone
Traverse Town,Secret Waterway,Examine Sun Motif,Traverse Town Secret Waterway Navi Gummi Event,2656113,Navi Gummi
Traverse Town,Secret Waterway,Chest,Traverse Town Secret Waterway White Trinity Chest,2650333,Orichalcum
Traverse Town,Secret Waterway,Chest,Traverse Town Secret Waterway Near Stairs Chest,2650894,Puppies
Traverse Town,Secret Waterway,Speak to Leon,Traverse Town Leon Secret Waterway Earthshine Event,2656014,Earthshine
Traverse Town,Secret Waterway,Speak to Kairi,Traverse Town Kairi Secret Waterway Oathkeeper Event,2656015,Oathkeeper
Traverse Town,Secret Waterway,Chest,Traverse Town Secret Waterway White Trinity Chest,2650333,Orichalcum
Wonderland,Bizarre Room,Read Book,Wonderland Bizarre Room Read Book,2656376,Mythril Shard
